Id_bien;No_voie;Type_de_voie;Voie;Section;No_plan;Premier_Lot;Surface_Carrez_du_1er_Lot;Nombre_de_lots;Type_local;Surface_reelle_bati;Nb_piece_principale;Nature_culture;Nature_culture_speciale;Surface_terrain;CodeComm_CodeDep
179;7;RUE;PLICHON;AX;56;101;58,45;2;Appartement;56;3;;;;75111
180;33;AV;PHILIPPE AUGUSTE;CR;201;125;31,12;2;Appartement;30;2;;;;75111
181;38;RUE;TRAVERSIERE;EV;42;111;44,95;1;Appartement;50;2;;;;75112
182;31;RUE;DE L ABBE CARTON;CU;22;126;25,06;1;Appartement;26;1;;;;75114
183;8;RUE;MARMONTEL;BS;113;10;37,38;2;Appartement;37;2;;;;75115
184;22;RUE;EMERIAU;DR;11;219;99,96;3;Appartement;97;6;;;;75115
185;62;RUE;LEGENDRE;CJ;107;21;63,16;1;Appartement;75;3;;;;75117
186;68;RUE;MSTISLAV ROSTROPOVITCH;CU;93;1071;47,12;1;Appartement;47;2;;;;75117
187;76;RUE;LEPIC;AT;111;4;53,01;1;Appartement;50;3;;;;75118
188;21;RUE;DUHESME;AV;46;33;52,46;2;Appartement;51;3;;;;75118
189;124;RUE;DAMREMONT;AX;2;11;52,24;2;Appartement;50;2;;;;75118
190;89;RUE;DES POISSONNIERS;BV;49;8;29,13;1;Appartement;30;2;;;;75118
191;28;RUE;DE TORCY;DA;19;242;67,8;2;Appartement;68;3;;;;75118
192;9;RUE;HENRI CHEVREAU;AO;33;10;21,01;2;Appartement;25;1;;;;75120
193;4;RUE;MICHEL DUBOSC;DG;232;107;19,9;1;Appartement;20;1;;;;76351
194;3;RUE;HENRY LEMONNIER;AN;212;7;45,84;2;Appartement;30;1;;;;76447
195;10;RUE;ROBERT DE THORIGNY;AC;124;75;39,3;2;Appartement;39;2;;;;76451
196;19;RUE;DU GENERAL DE GAULLE;AD;116;14;32,99;1;Appartement;29;2;;;;77005
197;56;RUE;REMY DUMONCEL;D;452;10;24,06;2;Appartement;25;1;;;;77014
198;4;RUE;KONRAD ADENAUER;AH;28;30;53,6;1;Appartement;53;2;;;;77058
199;17;AV;DU GENERAL DE GAULLE;AI;105;5;31,42;1;Appartement;31;1;;;;77058
200;13;RUE;DE CHAMPAGNE;B;392;1;111,15;1;Maison;102;5;;;;77059
201;2;SQ;DU PETIT MARGAT;C;1354;31;60,25;1;Appartement;60;3;;;;77192
202;2;CHE;DU GAZON;C;751;1;75,06;1;Maison;76;4;;;;77259
203;17;RUE;LOUVIOT;AI;133;107;33,49;1;Appartement;33;2;;;;77288
204;15;RUE;DE VAUX;AP;277;19;44,94;1;Appartement;45;2;;;;77288
205;2;RUE;DU TEMPLE;AO;80;4;66,54;1;Appartement;76;3;;;;77379
206;113;AV;DE POISSY;BI;540;9;42,2;1;Appartement;42;2;;;;78005
