Id_ventes;No_disposition;Date_mutation;Nature_mutation;Valeur_fonciere;Id_refbien
398;1;06/01/2020;Vente;1475700;398
399;1;06/01/2020;Vente;551800;399
400;1;06/01/2020;Vente;362300;400
401;1;06/01/2020;Vente;295700;401
402;1;06/01/2020;Vente;688292;402
403;1;06/01/2020;Vente;596650;403
404;1;06/01/2020;Vente;471000;404
405;1;06/01/2020;Vente;95000;405
406;1;06/01/2020;Vente;590000;406
407;1;06/01/2020;Vente;533000;407
408;1;06/01/2020;Vente;126000;408
409;1;06/01/2020;Vente;607500;409
410;1;06/01/2020;Vente;7420000;410
411;1;06/01/2020;Vente;328950;411
412;1;06/01/2020;Vente;552800;412
413;1;06/01/2020;Vente;343000;413
414;1;06/01/2020;Vente;532000;414
415;1;06/01/2020;Vente;1613000;415
416;1;06/01/2020;Vente;352500;416
417;1;06/01/2020;Vente;276930;417
418;1;06/01/2020;Vente;1188000;418
419;1;06/01/2020;Vente;112000;419
420;1;06/01/2020;Vente;403000;420
421;1;06/01/2020;Vente;60000;421
422;1;06/01/2020;Vente;124000;422
423;1;06/01/2020;Vente;225000;423
424;1;06/01/2020;Vente;185500;424
425;1;06/01/2020;Vente;113000;425
426;1;06/01/2020;Vente;45000;426
427;1;06/01/2020;Vente;189000;427
428;1;06/01/2020;Vente;145000;428
429;1;06/01/2020;Vente;257000;429
430;1;06/01/2020;Vente;175000;430
431;1;06/01/2020;Vente;370050;431
432;1;06/01/2020;Vente;128000;432
433;1;06/01/2020;Vente;168500;433
434;1;06/01/2020;Vente;582000;434
435;1;06/01/2020;Vente;181500;435
436;1;06/01/2020;Vente;240750;436
437;1;06/01/2020;Vente;271500;437
438;1;06/01/2020;Vente;102820;438
439;1;06/01/2020;Vente;740000;439
440;1;06/01/2020;Vente;54000;440
441;1;06/01/2020;Vente;224900;441
442;1;06/01/2020;Vente;90000;442
443;1;06/01/2020;Vente;148500;443
444;1;06/01/2020;Vente;372841;444
445;1;06/01/2020;Vente;235200;445
446;1;06/01/2020;Vente;80000;446
447;1;06/01/2020;Vente;182500;447
448;1;06/01/2020;Vente;103000;448
449;1;06/01/2020;Vente;51000;449
450;1;06/01/2020;Vente;134500;450
451;1;06/01/2020;Vente;39000;451
452;1;06/01/2020;Vente;168636,6;452
453;1;06/01/2020;Vente;265000;453
454;1;06/01/2020;Vente;134000;454
455;1;06/01/2020;Vente;291150;455
456;1;06/01/2020;Vente;377000;456
457;1;06/01/2020;Vente;391200;457
458;1;06/01/2020;Vente;476469;458
459;1;06/01/2020;Vente;910000;459
460;1;06/01/2020;Vente;186000;460
461;1;06/01/2020;Vente;164000;461
462;1;06/01/2020;Vente;185000;462
463;1;06/01/2020;Vente;388326;463
464;1;06/01/2020;Vente;606820;464
465;1;06/01/2020;Vente;423100;465
466;1;06/01/2020;Vente;518192;466
467;1;06/01/2020;Vente;345000;467
468;1;06/01/2020;Vente;335000;468
469;1;06/01/2020;Vente;121000;469
470;1;06/01/2020;Vente;380000;470
471;1;06/01/2020;Vente;1550000;471
472;1;06/01/2020;Vente;645000;472
473;1;06/01/2020;Vente;825750;473
474;2;06/01/2020;Vente;345000;474
475;1;06/01/2020;Vente;166000;475
476;1;06/01/2020;Vente;254800;476
477;1;06/01/2020;Vente;460000;477
478;1;06/01/2020;Vente;1225000;478
479;1;06/01/2020;Vente;354750;479
480;1;06/01/2020;Vente;196800;480
481;1;06/01/2020;Vente;156350;481
482;1;06/01/2020;Vente;350000;482
483;1;06/01/2020;Vente;644000;483
484;1;06/01/2020;Vente;319000;484
485;1;06/01/2020;Vente;160000;485
486;1;06/01/2020;Vente;240000;486
487;1;06/01/2020;Vente;435000;487
488;1;06/01/2020;Vente;408000;488
489;1;06/01/2020;Vente;153000;489
490;1;06/01/2020;Vente;187000;490
491;1;06/01/2020;Vente;420600;491
492;1;06/01/2020;Vente;281000;492
493;1;06/01/2020;Vente;168500;493
494;1;06/01/2020;Vente;267000;494
495;1;06/01/2020;Vente;129000;495
496;1;06/01/2020;Vente;197050;496
497;1;06/01/2020;Vente;389980;497
498;1;06/01/2020;Vente;109000;498
499;1;06/01/2020;Vente;195000;499
500;1;06/01/2020;Vente;137000;500
501;1;06/01/2020;Vente;189800;501
502;1;06/01/2020;Vente;285500;502
503;1;06/01/2020;Vente;165000;503
504;1;06/01/2020;Vente;225000;504
505;1;06/01/2020;Vente;252000;505
506;1;06/01/2020;Vente;244783,25;506
507;1;06/01/2020;Vente;1400000;507
508;1;06/01/2020;Vente;240750;508
509;1;06/01/2020;Vente;100000;509
510;1;06/01/2020;Vente;660000;510
511;1;06/01/2020;Vente;1690000;511
512;1;06/01/2020;Vente;130000;512
513;1;06/01/2020;Vente;179500;513
514;1;06/01/2020;Vente;212500;514
515;1;06/01/2020;Vente;208000;515
516;1;06/01/2020;Vente;181230;516
517;1;07/01/2020;Vente;220900;517
518;1;07/01/2020;Vente;212150;518
519;1;07/01/2020;Vente;262000;519
520;1;07/01/2020;Vente;131990;520
521;1;07/01/2020;Vente;133950;521
522;1;07/01/2020;Vente;405000;522
